307,1/21/00,THB/USD,37.23
308,1/24/00,AUD/USD,1.5281
309,1/24/00,EUR/USD,0.9981
310,1/24/00,NZD/USD,1.9759
311,1/24/00,GPB/USD,0.6053
312,1/24/00,BRL/USD,1.768
313,1/24/00,CAD/USD,1.44
314,1/24/00,CNY/USD,8.2789
315,1/24/00,HKD/USD,7.7795
316,1/24/00,INR/USD,43.62
317,1/24/00,KRW/USD,1124.5
318,1/24/00,MXN/USD,9.485
319,1/24/00,ZAR/USD,6.1675
320,1/24/00,SGD/USD,1.6825
321,1/24/00,DKK/USD,7.428
322,1/24/00,JPY/USD,105.52
323,1/24/00,MYR/USD,3.8
324,1/24/00,NOK/USD,8.026
325,1/24/00,SEK/USD,8.526
326,1/24/00,LKR/USD,72.95
327,1/24/00,CHF/USD,1.609
328,1/24/00,TWD/USD,30.85
329,1/24/00,THB/USD,37.3
330,1/25/00,AUD/USD,1.5286
331,1/25/00,EUR/USD,0.9959
332,1/25/00,NZD/USD,1.9732
333,1/25/00,GPB/USD,0.6067
334,1/25/00,BRL/USD,1.78
335,1/25/00,CAD/USD,1.4389
336,1/25/00,CNY/USD,8.2786
337,1/25/00,HKD/USD,7.78
338,1/25/00,INR/USD,43.59
339,1/25/00,KRW/USD,1127.0
340,1/25/00,MXN/USD,9.525
341,1/25/00,ZAR/USD,6.1617
342,1/25/00,SGD/USD,1.6867
343,1/25/00,DKK/USD,7.412
344,1/25/00,JPY/USD,105.87
345,1/25/00,MYR/USD,3.8
346,1/25/00,NOK/USD,8.036
347,1/25/00,SEK/USD,8.521
348,1/25/00,LKR/USD,73.45
349,1/25/00,CHF/USD,1.6085
350,1/25/00,TWD/USD,30.85
351,1/25/00,THB/USD,37.27
352,1/26/00,AUD/USD,1.5373
353,1/26/00,EUR/USD,0.9989
354,1/26/00,NZD/USD,1.9763
355,1/26/00,GPB/USD,0.6099
356,1/26/00,BRL/USD,1.781
357,1/26/00,CAD/USD,1.4379
358,1/26/00,CNY/USD,8.2782
359,1/26/00,HKD/USD,7.7805
360,1/26/00,INR/USD,43.65
361,1/26/00,KRW/USD,1127.8
362,1/26/00,MXN/USD,9.5175
363,1/26/00,ZAR/USD,6.175
364,1/26/00,SGD/USD,1.695
365,1/26/00,DKK/USD,7.433
366,1/26/00,JPY/USD,105.85
367,1/26/00,MYR/USD,3.8
368,1/26/00,NOK/USD,8.0675
369,1/26/00,SEK/USD,8.5285
370,1/26/00,LKR/USD,73.4
371,1/26/00,CHF/USD,1.6102
372,1/26/00,TWD/USD,30.85
373,1/26/00,THB/USD,37.48
374,1/27/00,AUD/USD,1.5267
375,1/27/00,EUR/USD,1.0111
376,1/27/00,NZD/USD,1.9716
377,1/27/00,GPB/USD,0.6111
378,1/27/00,BRL/USD,1.78
379,1/27/00,CAD/USD,1.435
380,1/27/00,CNY/USD,8.2783
381,1/27/00,HKD/USD,7.7805
382,1/27/00,INR/USD,43.63
383,1/27/00,KRW/USD,1125.0
384,1/27/00,MXN/USD,9.52
385,1/27/00,ZAR/USD,6.227
386,1/27/00,SGD/USD,1.693
387,1/27/00,DKK/USD,7.525
388,1/27/00,JPY/USD,104.91
389,1/27/00,MYR/USD,3.8
390,1/27/00,NOK/USD,8.1475
391,1/27/00,SEK/USD,8.615
392,1/27/00,LKR/USD,73.45
393,1/27/00,CHF/USD,1.6317
394,1/27/00,TWD/USD,30.83
395,1/27/00,THB/USD,37.46
396,1/28/00,AUD/USD,1.5962
397,1/28/00,EUR/USD,1.0241
398,1/28/00,NZD/USD,2.0534
399,1/28/00,GPB/USD,0.6169
400,1/28/00,BRL/USD,1.79
401,1/28/00,CAD/USD,1.4495
402,1/28/00,CNY/USD,8.2781
403,1/28/00,HKD/USD,7.78
404,1/28/00,INR/USD,43.65
405,1/28/00,KRW/USD,1121.0
406,1/28/00,MXN/USD,9.581
407,1/28/00,ZAR/USD,6.3575
408,1/28/00,SGD/USD,1.71
409,1/28/00,DKK/USD,7.6165
410,1/28/00,JPY/USD,107.15
411,1/28/00,MYR/USD,3.8
412,1/28/00,NOK/USD,8.27
